wage,exper,union,service,educ,looks,sex,race,status,health
6.25,5,no,no,12,3,male,white,single,good
3.0,18,no,no,13,4,female,white,married,good
3.75,12,no,no,12,4,female,white,single,good
3.75,6,no,no,12,4,female,white,married,good
6.54,13,no,no,13,4,female,black,single,good
4.19,10,no,no,13,3,male,white,married,good
5.37,20,no,no,12,2,male,white,married,good
2.14,32,no,no,16,5,female,white,single,good
4.81,32,no,no,12,3,female,white,married,good
3.53,8,no,no,12,3,female,white,married,good
4.33,25,no,no,12,3,female,white,single,good
6.13,18,no,no,12,3,male,white,married,good
8.79,31,no,no,12,2,male,white,married,bad
8.21,30,no,no,12,3,male,white,married,good
2.39,8,no,no,10,3,male,white,married,good
4.58,18,no,no,12,4,male,white,married,good
6.97,16,no,no,13,3,male,white,married,good
10.12,29,no,no,12,3,male,white,married,good
3.75,30,no,no,12,2,male,white,married,good
3.52,8,no,no,12,2,male,white,single,good
8.41,22,no,no,10,3,male,white,married,good
7.96,15,no,no,12,5,male,white,married,good
8.24,20,no,no,12,2,male,white,married,good
3.22,18,no,no,12,3,male,white,married,good
7.96,36,no,no,8,3,male,white,married,good
8.65,11,no,no,12,4,male,white,single,good
4.27,3,no,no,10,3,male,black,single,good
12.66,22,no,no,12,5,male,white,married,good
7.96,16,no,no,10,3,male,white,married,good
3.49,44,no,no,10,3,male,white,married,good
10.12,20,no,no,13,2,male,white,single,good
3.08,5,no,no,13,4,male,white,married,good
7.96,8,no,no,12,3,male,white,married,good
2.75,2,no,no,12,4,male,white,single,good
3.39,10,no,no,10,3,male,white,married,good
5.49,7,no,no,12,2,male,white,married,good
4.27,11,no,no,12,3,male,white,married,good
5.71,18,no,no,12,3,male,white,married,good
3.46,8,no,no,14,2,female,white,married,good
15.38,37,no,no,12,3,male,white,married,good
8.41,12,no,no,13,3,male,white,single,good
10.12,11,no,no,12,3,male,white,married,good
3.85,7,no,no,12,4,male,white,married,good
4.62,23,no,no,12,4,male,white,married,good
3.41,5,no,no,12,3,male,white,married,good
10.58,22,no,no,12,4,male,white,married,good
10.1,35,no,no,13,3,male,white,single,good
7.96,6,no,no,13,3,male,white,married,good
6.81,14,no,no,8,4,male,white,married,good
7.21,37,no,no,12,3,male,white,married,good
6.41,32,no,no,8,3,male,white,married,good
4.77,30,no,no,10,3,male,white,married,good
6.05,10,no,no,13,3,male,white,married,good
3.75,9,no,no,10,2,male,white,married,good
9.16,14,no,no,13,3,male,white,married,good
3.33,19,no,no,10,3,male,white,married,good
4.77,6,no,no,14,3,male,white,married,good
5.79,28,no,no,12,2,male,white,married,good
3.96,10,no,no,16,3,female,white,single,good
6.41,37,no,no,12,2,male,white,married,good
5.55,41,no,no,12,3,male,white,married,good
12.74,18,no,no,10,3,male,white,married,bad
7.69,14,no,no,13,4,male,white,single,good
8.17,12,no,no,16,3,male,white,single,good
6.4,26,no,no,12,3,male,white,married,good
3.57,19,no,no,12,3,female,black,married,good
6.59,22,no,no,10,4,male,white,single,good
7.69,27,no,no,12,3,male,white,married,good
10.26,27,no,no,12,3,male,black,single,good
7.08,25,no,no,10,3,male,white,married,good
10.42,10,no,no,12,3,male,white,married,good
8.08,7,no,no,12,3,male,white,married,good
4.95,7,no,no,13,4,male,white,single,good
9.81,24,no,no,13,3,male,white,married,good
5.77,10,no,no,12,4,male,white,single,good
4.81,3,no,no,12,4,male,white,single,good
11.95,28,no,no,14,3,male,white,married,good
6.12,23,no,no,12,4,male,white,married,good
4.58,37,no,no,12,4,male,white,single,good
2.26,18,no,no,10,2,female,white,married,bad
4.37,5,no,no,12,3,male,white,married,good
7.71,42,no,no,8,2,male,white,married,good
7.96,20,no,no,13,3,female,white,single,good
8.93,33,no,no,12,3,male,white,single,good
12.27,25,no,no,10,3,male,white,married,bad
5.73,14,no,no,12,4,female,white,married,good
7.26,10,no,no,13,4,male,white,married,good
4.73,21,no,no,5,2,male,white,married,good
5.38,8,no,no,12,3,male,white,married,good
9.0,42,no,no,12,4,male,white,married,good
4.91,10,no,no,12,4,male,white,married,good
14.31,40,no,no,10,2,male,white,married,good
9.74,13,no,no,12,4,male,white,married,good
4.13,39,no,no,12,3,male,white,married,good
3.75,9,no,no,13,3,male,white,married,good
5.26,26,no,no,12,2,male,white,married,good
21.74,24,no,no,12,3,male,white,married,good
8.81,14,no,no,12,3,male,white,married,good
8.17,12,no,no,13,4,male,white,married,good
7.5,35,no,no,12,4,male,white,married,good
3.42,14,no,no,12,3,male,white,married,bad
8.89,18,no,no,12,3,male,white,married,good
4.16,32,no,no,13,3,male,white,married,good
8.17,23,no,no,12,3,male,white,married,good
8.12,22,no,no,12,3,male,white,married,good
10.12,29,no,no,12,3,male,white,married,good
12.5,30,no,no,13,3,male,white,married,good
4.33,15,no,no,8,2,male,white,single,good
5.2,10,no,no,12,4,male,white,single,good
9.62,12,no,no,10,4,male,white,married,good
16.03,25,no,no,10,3,male,white,married,good
9.28,29,no,no,12,3,male,white,married,good
2.81,40,no,no,8,2,male,white,married,bad
7.21,34,no,no,5,3,male,black,married,good
8.0,18,no,no,12,3,male,white,married,good
10.99,22,no,no,12,3,male,white,married,bad
4.47,12,no,no,12,2,male,white,married,good
7.07,10,no,no,12,3,male,white,married,good
1.66,15,no,no,12,4,male,white,married,good
7.93,39,no,no,12,1,male,white,married,good
5.23,18,no,no,12,3,male,white,single,good
7.96,18,no,no,10,3,male,white,married,good
7.03,16,no,no,12,2,male,white,married,good
3.75,18,no,no,8,3,male,white,married,good
5.29,4,no,no,13,3,male,white,single,good
4.46,4,no,no,13,3,male,white,single,good
7.96,39,no,no,13,3,male,white,married,good
5.45,16,no,no,12,3,male,white,married,good
6.87,23,no,no,12,3,male,white,married,good
10.3,14,no,no,17,4,male,white,married,good
8.01,12,no,no,16,3,male,white,married,good
6.25,40,no,no,13,3,male,white,married,good
7.96,44,no,no,10,3,male,white,married,good
3.93,8,no,no,13,3,male,white,married,good
7.75,23,no,no,5,3,male,white,married,good
4.3,11,no,no,12,2,male,white,single,good
4.9,8,no,no,12,3,male,white,married,good
5.56,45,no,no,10,3,male,white,married,good
5.73,19,no,no,12,3,male,white,married,good
5.7,19,no,no,13,4,male,white,married,good
4.57,7,no,no,12,2,male,white,single,good
4.15,8,no,no,13,4,male,white,married,good
4.71,34,no,no,12,3,male,white,married,good
7.21,20,no,no,12,4,male,white,married,good
7.04,12,no,no,13,3,male,white,single,good
1.48,13,no,no,12,2,male,white,single,good
3.37,13,no,no,12,4,female,white,married,bad
9.62,4,no,no,12,3,male,white,single,good
3.75,3,no,no,12,4,male,white,single,good
7.14,17,no,no,12,4,male,white,married,good
6.99,10,no,no,13,4,male,white,married,good
8.46,26,no,no,10,3,male,white,married,good
4.76,12,no,no,16,3,male,white,married,good
3.9,2,no,no,13,4,female,black,single,good
5.77,11,no,no,14,4,male,white,married,good
8.74,19,no,no,12,4,male,white,married,good
6.56,4,no,no,16,4,male,white,single,good
4.24,9,no,no,13,3,male,white,single,good
4.09,15,no,no,12,4,male,white,married,good
20.99,25,no,no,10,3,male,white,married,good
7.69,7,no,no,12,3,male,white,married,good
4.58,29,no,no,12,3,male,white,married,good
6.49,28,no,no,12,3,male,white,married,bad
12.82,3,no,no,12,3,male,white,married,good
9.62,9,no,no,13,3,male,white,married,good
8.89,42,no,no,12,3,male,white,married,good
10.58,17,no,no,12,3,male,white,married,good
7.21,29,no,no,5,3,male,white,single,good
1.65,7,no,no,10,2,male,white,single,good
10.58,15,no,no,12,4,male,white,married,good
3.04,15,no,no,12,3,male,white,married,good
4.55,43,no,no,10,3,male,white,married,good
7.69,44,no,no,10,3,male,white,married,good
3.0,11,no,no,13,3,male,white,married,good
12.02,31,no,no,12,4,male,white,married,good
5.99,21,no,no,14,3,male,white,married,good
8.94,35,no,no,13,3,male,white,married,good
4.0,7,no,no,10,4,male,white,single,good
1.98,3,no,no,12,3,male,white,single,good
1.27,0,no,no,10,4,female,white,single,good
5.57,10,no,no,5,3,male,white,married,good
7.36,39,no,no,12,2,male,white,married,good
3.08,5,no,no,12,3,male,white,married,good
9.64,36,no,no,10,3,male,white,married,good
5.09,18,no,no,10,3,male,white,married,good
10.12,17,no,no,10,3,male,white,married,good
9.62,40,no,no,8,3,male,black,single,good
5.77,5,no,no,12,3,male,white,married,good
8.32,26,no,no,12,4,male,white,single,good
5.73,34,no,no,12,2,male,white,married,good
5.73,11,no,no,12,3,male,white,married,good
7.21,43,no,no,10,3,male,white,married,good
8.78,24,no,no,12,3,male,white,married,good
7.96,15,no,no,13,3,male,white,married,good
9.62,11,no,no,12,3,male,white,married,good
7.45,38,no,no,12,3,male,white,married,good
18.46,20,no,no,12,3,male,white,married,good
8.85,9,no,no,12,4,male,white,married,good
8.0,7,no,no,10,3,male,white,single,good
5.73,47,no,no,10,3,male,white,married,good
10.61,17,no,no,13,3,male,white,married,good
6.84,45,no,no,13,3,male,white,married,good
7.78,9,no,no,12,4,male,white,married,good
4.21,18,no,no,10,3,male,white,single,good
10.12,28,no,no,12,3,male,white,married,good
5.56,10,no,no,13,1,male,white,married,good
5.77,24,no,no,10,2,male,white,single,good
3.85,14,no,no,12,3,male,white,married,good
4.33,31,no,no,8,3,male,white,single,good
4.09,3,no,no,10,3,female,black,single,good
7.69,9,no,no,12,1,male,white,married,bad
6.98,38,no,no,14,3,male,white,married,good
5.69,35,no,no,8,3,female,white,married,good
1.2,5,no,no,12,3,female,white,married,good
7.48,3,no,no,16,3,male,white,single,good
3.13,5,no,no,12,4,female,black,married,good
5.61,13,no,no,12,3,male,white,married,good
3.27,4,no,no,12,3,female,white,single,good
6.25,10,no,no,12,4,male,white,married,good
7.69,10,no,no,13,4,male,white,married,good
4.0,23,no,no,12,2,female,white,single,good
4.66,38,no,no,10,4,female,white,single,good
3.82,4,no,no,10,3,male,white,married,good
5.24,13,no,no,12,4,male,white,married,good
5.13,35,no,no,10,3,female,white,married,bad
3.37,2,no,no,12,2,female,white,single,good
6.41,5,no,no,13,2,female,white,single,good
4.81,13,no,no,12,3,female,white,married,good
5.61,25,no,no,13,4,male,white,married,good
7.97,9,no,no,13,4,male,white,married,good
3.75,20,no,no,13,2,female,white,married,good
5.15,10,no,no,10,4,female,white,married,good
5.77,17,no,no,12,4,male,white,married,good
4.94,46,no,no,12,3,male,white,married,good
3.75,3,no,no,12,3,male,white,single,good
1.98,23,no,no,10,4,male,white,married,good
2.52,3,no,no,8,4,female,white,single,good
2.93,42,no,no,12,3,female,black,single,good
5.09,35,no,no,5,3,male,white,married,good
2.4,4,no,no,13,4,male,white,single,good
4.87,12,no,no,10,3,male,white,single,good
6.59,20,no,no,13,3,male,black,married,good
1.2,4,no,no,12,3,female,white,married,good
3.33,8,no,no,12,4,female,white,single,good
1.96,1,no,no,13,2,female,white,single,good
2.73,41,no,no,8,1,male,white,married,good
2.63,0,no,no,10,2,female,white,married,good
3.75,1,no,no,10,3,male,white,single,good
3.08,8,no,no,10,3,female,black,married,good
4.27,44,no,no,12,4,male,white,married,bad
4.5,11,no,no,8,4,male,white,married,good
5.53,8,no,no,12,2,male,white,married,good
4.09,5,no,no,12,4,male,black,married,good
4.55,5,no,no,12,3,male,white,married,good
18.74,7,no,no,10,2,male,white,married,bad
4.12,12,no,no,16,3,male,white,married,good
5.77,20,no,no,5,4,male,white,married,bad
4.81,3,no,no,12,3,male,white,single,good
5.77,6,no,no,12,3,male,white,married,good
4.81,42,no,no,5,3,female,white,married,good
8.65,22,no,no,12,3,male,white,married,good
1.92,3,no,no,10,4,female,white,married,good
5.93,29,no,no,8,4,male,white,married,bad
6.01,8,no,no,12,3,male,white,married,good
3.35,4,no,no,12,3,male,white,single,good
6.01,32,no,no,8,3,male,white,married,good
2.96,2,no,no,12,4,male,white,single,good
10.82,24,no,no,16,3,male,white,married,good
4.81,23,no,no,12,4,male,white,married,good
8.79,40,no,no,12,3,male,white,married,good
11.6,14,no,no,12,3,male,white,married,bad
4.81,5,no,no,12,4,male,white,single,good
3.75,44,no,no,8,4,male,white,married,good
5.29,12,no,no,16,4,male,white,married,good
6.5,9,no,no,12,3,male,white,married,good
5.82,30,no,no,10,4,male,white,married,good
1.79,2,no,no,12,3,male,white,single,good
4.28,3,no,no,12,4,male,white,single,good
1.98,25,no,no,10,3,female,white,married,bad
2.31,9,no,no,12,3,female,white,married,good
3.5,10,no,no,10,3,female,black,married,good
4.37,2,no,no,12,3,female,white,married,good
2.26,23,no,no,8,3,female,white,married,bad
3.75,19,no,no,10,2,female,white,single,good
3.75,34,no,no,12,3,female,white,married,bad
2.64,8,no,no,12,4,female,white,married,good
2.26,21,no,no,10,3,female,white,single,good
1.83,11,no,no,10,4,female,white,married,bad
2.88,20,no,no,13,3,female,white,single,bad
1.98,10,no,no,5,3,female,white,single,bad
1.98,27,no,no,10,2,female,white,married,bad
1.98,25,no,no,8,3,female,white,married,good
3.37,9,no,no,10,2,female,white,married,good
1.98,19,no,no,8,3,female,white,single,good
1.92,26,no,no,5,3,female,white,married,bad
3.37,11,no,no,10,3,female,white,married,good
3.75,36,no,no,5,4,male,white,married,good
3.75,6,no,no,12,4,female,white,married,good
6.59,33,no,no,12,3,male,white,married,good
3.75,35,no,no,10,3,male,black,married,good
7.96,42,no,no,10,3,male,white,married,bad
3.75,28,no,no,12,2,male,white,married,good
6.61,11,no,no,12,3,male,white,married,good
8.65,42,no,no,10,3,male,black,married,good
5.02,33,no,no,12,2,male,white,married,good
11.54,42,no,no,10,3,male,white,single,good
5.9,25,no,no,12,3,male,white,married,good
3.75,6,no,no,8,3,male,black,married,good
8.7,41,no,no,12,4,male,white,married,good
21.54,34,no,no,12,3,male,white,married,good
3.27,27,no,no,12,3,female,white,married,bad
3.3,17,no,no,10,3,female,white,single,good
5.49,44,no,no,12,3,male,white,married,good
2.4,42,no,no,10,3,female,white,single,good
4.09,1,no,no,12,3,male,white,single,good
1.98,35,no,no,5,4,male,black,married,good
7.21,42,no,no,10,3,male,white,married,good
8.5,4,no,no,16,3,male,white,married,good
1.98,1,no,no,8,3,female,white,married,good
7.18,18,no,no,10,3,male,white,married,good
4.81,6,no,no,16,5,male,white,married,good
5.24,15,no,no,12,3,male,white,married,good
9.13,24,no,no,12,4,male,white,married,good
3.75,25,no,no,12,3,female,white,married,good
7.69,40,no,no,12,4,male,black,single,good
8.6,31,no,no,5,4,male,black,married,good
5.29,20,no,no,10,2,male,white,married,good
2.4,0,no,no,8,2,male,white,single,bad
3.21,5,no,no,12,3,male,white,married,bad
6.67,15,no,no,10,2,female,white,married,good
3.85,5,no,no,13,4,male,black,married,good
8.49,36,no,no,12,3,male,white,married,good
7.21,18,no,no,10,2,male,white,married,good
3.33,22,no,no,13,2,male,white,married,good
4.27,2,no,no,12,3,female,white,single,good
2.88,4,no,no,13,4,male,white,single,good
4.09,10,no,no,12,2,male,white,married,good
2.75,36,no,no,10,3,female,black,married,good
4.12,9,no,no,8,4,female,black,single,good
9.62,15,no,no,12,4,male,white,married,good
5.53,5,no,no,12,3,male,white,married,good
4.01,5,no,no,13,3,female,white,married,good
3.41,4,no,no,14,3,male,white,married,good
6.92,3,no,no,12,3,male,white,married,good
3.75,12,no,no,12,3,female,black,married,bad
7.96,5,no,no,12,4,male,white,single,good
3.75,6,no,no,8,4,female,black,married,good
4.28,7,no,no,12,3,female,white,single,good
2.31,35,no,no,5,1,male,white,married,good
3.8,15,no,no,12,3,female,white,married,bad
4.09,5,no,no,12,3,male,white,single,good
3.85,12,no,no,12,3,female,white,married,good
3.75,23,no,no,10,2,female,white,married,good
3.0,10,no,no,12,4,male,black,single,good
3.96,1,no,no,16,3,male,black,single,good
8.55,20,no,no,12,3,male,white,married,good
3.75,14,no,no,10,4,male,black,married,good
6.0,1,no,no,8,3,male,white,married,good
4.81,6,no,no,12,2,male,white,married,good
2.5,26,no,no,12,3,male,white,married,good
4.32,18,no,no,10,3,female,black,single,good
1.27,4,no,no,12,3,male,white,single,good
5.77,13,no,no,12,2,female,white,married,good
4.2,33,no,no,10,2,male,white,married,good
13.74,28,no,no,12,3,male,white,married,good
2.56,4,no,no,16,3,male,white,married,good
5.13,42,no,no,13,4,male,white,married,good
7.21,39,no,no,5,3,male,white,married,good
4.24,7,no,no,13,3,male,white,married,good
4.1,38,no,no,12,2,male,white,married,good
8.5,19,no,no,12,3,male,white,married,good
5.94,29,no,no,12,3,male,white,married,good
10.54,35,no,no,10,3,male,black,married,good
3.5,18,no,no,10,3,male,white,married,good
5.95,8,no,no,13,3,male,white,married,good
8.89,20,no,no,13,4,male,white,married,good
5.73,34,no,no,5,2,male,white,married,good
1.05,29,no,no,5,3,male,black,married,good
3.85,8,no,no,13,4,male,white,married,good
2.88,4,no,no,12,3,male,white,single,good
8.44,15,no,no,12,4,male,white,married,good
3.61,6,no,no,12,5,male,white,single,good
5.77,20,no,no,12,3,male,white,single,good
3.33,35,no,no,8,3,male,black,married,good
7.96,44,no,no,5,2,male,white,married,bad
4.49,17,no,no,10,5,male,white,married,good
2.38,3,no,no,13,4,male,white,single,good
5.08,40,no,no,12,3,male,white,married,good
5.31,18,no,no,12,4,male,white,married,good
5.31,23,no,no,12,3,male,white,single,good
6.54,10,no,no,10,4,male,white,married,good
7.43,18,no,no,10,3,male,black,single,good
5.29,42,no,no,12,3,male,white,married,good
11.09,38,no,no,8,3,male,white,married,good
3.33,5,no,no,13,4,male,black,single,good
3.27,25,no,no,8,2,male,white,married,good
3.85,26,no,no,8,2,male,white,married,good
8.04,11,no,no,12,3,male,white,married,good
4.62,16,no,no,10,3,male,white,married,good
7.96,40,no,no,5,4,male,white,married,good
4.85,7,no,no,12,4,male,white,married,good
6.97,17,no,no,12,3,male,white,single,good
4.81,44,no,no,12,3,male,white,married,good
3.02,6,no,no,12,3,male,white,married,bad
3.98,8,no,no,12,3,male,white,married,good
5.56,31,no,no,12,3,male,white,single,good
7.32,26,no,no,12,3,male,white,married,good
7.69,20,no,no,10,3,male,white,married,good
6.29,22,no,no,13,2,male,white,married,good
9.62,11,no,no,12,3,male,white,married,good
7.63,8,no,no,13,4,male,white,married,good
4.29,40,no,no,5,3,male,white,married,good
25.64,13,no,no,10,3,male,white,married,good
4.24,3,no,no,12,4,male,white,single,good
3.87,10,no,no,12,4,male,white,married,good
5.73,18,no,no,10,3,male,white,married,good
3.5,5,no,no,12,3,female,white,married,good
5.05,16,no,no,10,3,male,black,married,good
7.96,10,no,no,12,3,male,white,married,good
7.96,10,no,no,12,4,male,white,married,good
3.41,3,no,no,12,3,male,white,single,good
5.73,40,no,no,8,3,male,white,single,good
8.89,35,no,no,12,3,male,white,married,good
4.81,28,no,no,10,3,male,white,married,good
4.81,16,no,no,14,3,male,white,married,good
3.75,19,no,no,12,3,male,black,single,good
13.41,11,no,no,10,4,male,white,married,good
5.09,10,no,no,12,2,male,white,married,good
2.88,4,no,no,12,4,male,black,single,good
3.21,2,no,no,14,4,male,black,single,good
4.55,5,no,no,12,3,male,white,single,good
5.77,31,no,no,10,2,male,white,single,good
8.85,28,no,no,14,3,male,white,married,good
4.41,9,no,no,10,3,male,white,married,good
4.27,12,no,no,13,3,male,white,married,good
10.12,17,no,no,13,3,male,white,married,good
5.29,37,no,no,13,3,male,black,married,good
5.73,35,no,no,8,2,male,white,married,good
7.63,35,no,no,12,3,male,white,married,good
7.69,10,no,no,13,4,male,white,married,good
6.08,42,no,no,12,3,male,white,married,bad
7.49,27,no,no,12,3,male,white,single,good
6.37,5,no,no,13,3,male,white,married,good
6.41,5,no,no,12,3,female,white,single,good
1.98,3,no,no,12,3,male,white,single,good
3.85,37,no,no,5,3,male,black,single,bad
7.05,14,no,no,12,3,male,white,single,good
5.13,21,no,no,13,3,male,white,married,good
6.35,7,no,no,10,3,male,white,married,good
6.69,27,no,no,12,3,male,white,married,good
4.62,1,no,no,13,3,male,white,single,good
5.02,31,no,no,13,3,male,white,married,good
4.23,42,no,no,5,2,male,white,married,good
4.33,45,no,no,5,3,male,black,married,bad
6.54,34,no,no,10,3,male,white,married,good
7.13,9,no,no,13,4,male,white,single,good
3.85,3,no,no,10,4,male,white,married,good
2.17,2,no,no,10,3,female,white,married,good
5.29,36,no,no,10,3,male,black,married,good
6.49,27,no,no,12,3,female,white,married,good
10.19,39,no,no,12,4,male,white,married,good
5.79,9,no,no,16,4,male,white,married,good
3.82,47,no,no,12,3,male,white,single,good
12.54,13,no,no,12,3,male,white,married,good
7.69,28,no,no,10,3,male,white,married,good
8.55,26,no,no,12,3,male,white,married,good
5.92,34,no,no,12,2,male,white,married,good
13.74,28,no,no,12,4,male,white,married,good
2.12,17,no,no,14,2,female,white,married,good
16.14,10,no,no,13,2,male,white,married,good
1.32,21,no,no,10,3,male,white,married,bad
1.79,15,no,no,12,4,male,white,married,good
2.32,15,no,no,13,4,male,white,married,good
3.7,11,no,no,12,3,male,white,married,good
6.75,37,no,no,10,3,male,white,married,good
8.44,43,no,no,5,3,male,white,married,good
26.24,37,no,no,12,2,male,white,married,good
8.88,24,no,no,12,3,male,white,married,good
2.5,17,no,no,10,3,male,white,married,good
7.28,16,no,no,12,3,male,white,married,good
7.84,36,no,no,12,3,male,white,married,good
26.24,37,no,no,12,3,male,white,married,good
6.33,38,no,no,8,3,male,white,married,good
4.16,9,no,no,12,4,male,white,married,good
3.21,36,no,no,5,4,male,white,married,good
2.02,41,no,no,5,2,female,white,single,good
9.23,10,no,no,12,3,male,white,married,good
2.68,33,no,no,5,3,male,white,married,good
8.65,5,no,no,14,4,female,white,married,good
2.08,1,no,no,12,4,female,white,single,good
6.25,47,no,no,5,4,female,black,married,bad
1.92,8,no,no,12,2,male,white,married,good
3.08,6,no,no,10,2,male,white,married,good
2.11,12,no,no,12,3,female,white,married,good
3.46,26,no,no,5,1,female,white,single,good
4.81,14,no,no,10,3,male,white,married,good
3.37,13,no,no,5,3,female,white,single,good
5.77,39,no,no,5,2,male,white,married,good
3.34,10,no,no,13,2,male,white,married,good
7.26,27,no,no,10,3,male,white,married,bad
3.73,5,no,no,13,3,male,white,married,good
2.21,6,no,no,12,3,female,white,single,good
2.92,32,no,no,8,3,male,white,married,bad
3.53,1,no,no,8,4,male,black,married,good
1.8,8,no,no,12,4,female,white,married,good
2.6,15,no,no,10,4,female,white,married,good
1.17,1,no,no,12,2,male,black,single,good
1.88,25,no,no,10,3,female,white,single,good
2.88,15,no,no,10,3,female,black,married,good
1.92,7,no,no,12,4,female,white,married,good
1.88,1,no,no,12,4,female,white,single,good
3.37,12,no,no,12,3,female,white,married,good
1.82,3,no,no,10,3,female,white,single,good
1.46,2,no,no,10,4,male,black,married,good
2.26,3,no,no,10,3,female,white,married,good
2.07,2,no,no,12,2,female,white,single,good
3.54,16,no,no,13,3,male,white,married,good
1.26,32,no,no,5,1,female,black,single,good
2.26,20,no,no,10,3,female,white,married,good
3.95,17,no,no,12,3,female,white,married,good
2.65,15,no,no,5,3,female,white,single,good
3.75,19,no,no,8,2,female,white,married,good
2.26,37,no,no,5,3,male,white,single,bad
2.19,29,no,no,10,3,female,black,single,good
2.19,5,no,no,13,2,female,white,single,bad
3.21,7,no,no,5,3,female,white,single,good
2.47,23,no,no,5,2,female,white,single,good
3.0,5,no,no,12,4,female,white,single,good
3.75,29,no,no,8,3,male,white,single,good
2.0,13,no,no,12,3,female,white,single,good
2.26,10,no,no,12,2,female,white,married,good
2.88,12,no,no,13,4,female,white,married,good
4.69,7,no,no,12,3,female,white,married,good
3.95,9,no,no,12,3,female,white,married,good
6.54,4,no,no,12,3,male,white,married,good
3.57,26,no,no,12,3,female,white,single,good
5.31,15,no,no,17,3,male,white,married,good
2.63,19,no,no,10,4,female,white,married,good
4.33,22,no,no,16,3,male,white,married,bad
2.25,12,no,no,5,1,female,black,single,good
2.75,11,no,no,10,3,female,white,married,good
3.29,6,no,no,12,3,female,white,married,good
5.77,13,no,no,14,4,male,white,married,good
4.74,8,no,no,13,4,female,white,single,good
4.12,7,no,no,13,3,female,white,single,good
2.89,12,no,no,10,3,female,black,single,good
6.96,11,no,no,13,3,male,white,married,good
6.41,41,no,no,12,2,male,white,married,good
4.28,7,no,no,12,3,female,white,married,good
1.28,9,no,no,13,4,female,white,married,good
2.56,40,no,no,10,3,female,white,single,good
4.62,7,no,no,14,4,female,black,married,good
1.98,9,no,no,12,3,female,white,married,good
1.92,13,no,no,13,4,female,white,single,good
1.8,33,no,no,13,2,female,white,married,bad
1.98,17,no,no,14,3,female,white,single,good
2.0,3,no,no,13,2,female,black,single,good
2.11,8,no,no,16,3,female,white,single,good
2.11,3,no,no,10,4,female,white,married,good
2.77,9,no,no,13,3,male,white,single,good
3.46,30,no,no,10,3,female,white,single,good
6.0,5,no,no,13,4,female,white,single,good
4.81,13,no,no,12,3,male,black,married,good
2.33,5,no,no,12,2,female,white,married,good
3.57,9,no,no,16,4,female,white,single,good
1.98,8,no,no,13,3,female,white,single,good
5.13,20,no,no,10,2,female,black,married,good
4.47,3,no,no,13,3,female,white,single,good
2.07,5,no,no,12,5,female,white,single,good
6.97,20,no,no,13,3,female,white,married,good
1.98,2,no,no,12,3,female,white,single,good
4.62,7,no,no,12,3,female,white,single,good
3.21,5,no,no,13,3,male,white,single,good
1.8,46,no,no,14,3,female,white,single,good
4.62,10,no,no,12,3,female,white,married,good
6.11,27,no,no,12,3,male,white,married,good
5.73,39,no,no,16,3,male,black,married,good
3.57,13,no,no,13,4,male,white,married,good
1.58,27,no,no,12,4,male,white,married,good
4.21,7,no,no,12,4,male,white,married,good
1.75,18,no,no,12,3,female,white,single,good
2.15,6,no,no,12,1,female,white,married,good
1.02,11,no,no,13,3,female,white,married,good
2.4,10,no,no,12,2,female,black,married,good
2.83,28,no,no,13,3,female,black,single,good
3.29,2,no,no,10,3,female,white,married,good
1.98,45,no,no,12,3,female,white,single,good
23.16,9,no,no,10,3,male,white,single,good
5.49,13,no,no,12,4,female,white,married,good
3.0,40,no,no,13,3,male,white,single,good
3.29,10,no,no,12,4,female,white,single,bad
2.88,15,no,no,12,4,female,white,single,good
2.63,12,no,no,10,3,female,white,married,good
5.82,20,no,no,17,2,female,white,single,good
1.09,8,no,no,10,2,female,white,married,good
1.28,13,no,no,12,4,female,white,married,good
6.25,3,no,no,12,3,female,white,single,good
2.88,7,no,no,14,4,male,white,married,good
7.69,18,no,no,12,4,male,white,married,good
7.14,13,no,no,12,4,male,white,married,good
6.93,36,no,no,12,3,male,white,married,good
1.56,4,no,no,12,3,male,white,single,good
1.98,8,no,no,10,3,female,white,single,good
8.75,24,no,no,16,3,male,white,single,good
4.81,31,no,no,12,2,male,white,married,good
4.71,16,no,no,13,3,male,white,married,good
4.87,10,no,no,13,3,male,white,married,good
4.62,10,no,no,13,4,male,white,married,good
2.4,12,no,no,12,4,male,white,single,good
5.34,20,no,no,12,2,male,white,married,good
4.21,13,no,no,12,3,male,white,married,good
4.72,9,no,no,13,4,male,white,married,good
12.82,15,no,no,13,3,male,white,married,good
6.73,34,no,no,10,3,male,white,married,good
5.39,8,no,no,14,3,male,white,married,good
5.31,3,no,no,17,4,male,white,single,good
10.58,19,no,no,16,4,male,white,single,good
8.65,10,no,no,13,3,male,white,married,good
4.17,13,no,no,10,3,male,white,married,good
6.81,7,no,no,12,3,male,white,single,good
9.62,21,no,no,16,3,male,white,married,good
1.22,10,no,no,5,3,female,white,single,good
1.79,20,no,no,8,3,female,white,married,good
1.61,25,no,no,12,3,female,black,single,good
1.68,4,no,no,12,2,female,white,married,good
3.29,35,no,no,12,3,female,black,single,good
2.31,15,no,no,10,3,female,black,married,good
1.92,24,no,no,16,3,female,white,single,bad
